[2025-01-23 14:25:29,729][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 14:25:29,729][INFO] params["in_chans"]=[200, 16] python run_model.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 14:25:29,729][INFO] params["dims"]=[512, 512] 温度参数为0.55
[2025-01-23 14:25:29,729][INFO] params["out_chans"]=[16, 8]
[2025-01-23 14:25:29,729][INFO] params["heads"]=[8, 4]
[2025-01-23 14:25:29,731][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-23 16:18:37,792][INFO] Epoch[52/80], loss:1.5341, CE loss:0.4336, info NCE loss:1.1004
[2025-01-23 16:18:37,793][INFO] Epoch[52/80], train B-acc: 0.9384(0.8816-0.9820), test B-acc: 0.6342(0.5379-0.7261)
[2025-01-23 16:18:37,793][INFO] Epoch[52/80], train AUC: 0.9965(0.9899-0.9996), test AUC: 0.7627(0.6540-0.8561)
[2025-01-23 16:20:46,116][INFO] Epoch[53/80], loss:1.5334, CE loss:0.4333, info NCE loss:1.1001
[2025-01-23 16:20:46,117][INFO] Epoch[53/80], train B-acc: 0.9512(0.8958-0.9872), test B-acc: 0.6500(0.5597-0.7413)
[2025-01-23 16:20:46,117][INFO] Epoch[53/80], train AUC: 0.9970(0.9919-0.9997), test AUC: 0.7620(0.6541-0.8487)
[2025-01-23 16:22:54,050][INFO] Epoch[54/80], loss:1.5308, CE loss:0.4316, info NCE loss:1.0992
[2025-01-23 16:22:54,051][INFO] Epoch[54/80], train B-acc: 0.9450(0.8914-0.9846), test B-acc: 0.6509(0.5574-0.7480)
[2025-01-23 16:22:54,051][INFO] Epoch[54/80], train AUC: 0.9974(0.9924-0.9998), test AUC: 0.7607(0.6468-0.8496)
[2025-01-23 16:25:01,561][INFO] Epoch[55/80], loss:1.5298, CE loss:0.4310, info NCE loss:1.0988
[2025-01-23 16:25:01,562][INFO] Epoch[55/80], train B-acc: 0.9481(0.8919-0.9868), test B-acc: 0.6470(0.5534-0.7413)
[2025-01-23 16:25:01,562][INFO] Epoch[55/80], train AUC: 0.9979(0.9935-0.9999), test AUC: 0.7549(0.6469-0.8477)
[2025-01-23 16:27:09,232][INFO] Epoch[56/80], loss:1.5283, CE loss:0.4301, info NCE loss:1.0981
[2025-01-23 16:27:09,232][INFO] Epoch[56/80], train B-acc: 0.9480(0.9016-0.9868), test B-acc: 0.6488(0.5600-0.7425)
[2025-01-23 16:27:09,232][INFO] Epoch[56/80], train AUC: 0.9981(0.9941-0.9999), test AUC: 0.7569(0.6491-0.8486)
[2025-01-23 16:29:17,273][INFO] Epoch[57/80], loss:1.5268, CE loss:0.4293, info NCE loss:1.0976
[2025-01-23 16:29:17,274][INFO] Epoch[57/80], train B-acc: 0.9709(0.9300-0.9979), test B-acc: 0.6554(0.5611-0.7461)
[2025-01-23 16:29:17,274][INFO] Epoch[57/80], train AUC: 0.9983(0.9948-1.0000), test AUC: 0.7524(0.6531-0.8448)
[2025-01-23 16:31:25,346][INFO] Epoch[58/80], loss:1.5266, CE loss:0.4291, info NCE loss:1.0975
[2025-01-23 16:31:25,346][INFO] Epoch[58/80], train B-acc: 0.9702(0.9264-0.9977), test B-acc: 0.6444(0.5463-0.7327)
[2025-01-23 16:31:25,346][INFO] Epoch[58/80], train AUC: 0.9987(0.9951-1.0000), test AUC: 0.7539(0.6452-0.8474)
[2025-01-23 16:33:33,229][INFO] Epoch[59/80], loss:1.5242, CE loss:0.4278, info NCE loss:1.0964
[2025-01-23 16:33:33,229][INFO] Epoch[59/80], train B-acc: 0.9714(0.9281-0.9980), test B-acc: 0.6494(0.5585-0.7449)
[2025-01-23 16:33:33,229][INFO] Epoch[59/80], train AUC: 0.9990(0.9962-1.0000), test AUC: 0.7535(0.6472-0.8418)
[2025-01-23 16:35:41,148][INFO] Epoch[60/80], loss:1.5232, CE loss:0.4271, info NCE loss:1.0961
[2025-01-23 16:35:41,148][INFO] Epoch[60/80], train B-acc: 0.9726(0.9346-0.9980), test B-acc: 0.6426(0.5448-0.7405)
